0xf68a2fb3fa4b90fba7c7700ed8c676cec94f3573 [49999999999, 0]
0xd2c7008400f54aa70af01cf8c747a4473246593e [54000000000, 1000000]
0x0079bf6868cb1b7cf4a451311fd70c348f3ed38b [1000000000000, 0]
0x2fdeec247037a343b26f5daa0d3af15fe23a28c5 [328222496065, 0]
0xb8a6b2a4c492eb20686ac1706bc5a2548a9e4000 [34220000000000, 0]
0x7ef3d3d72c3cdd897c6560677cc91f4237ae7443 [50000000000, 0]
0xd11daeda7061bef1955129b76a1dd2162da43c51 [0, 1000000000]
0x2dcd241135d2d5b2e9ba2926e436c054fdf8bf0b [50000000000, 0]
0xb196740f7742480ccb639462e35aabb1944bc02a [1000000000000, 0]
0xe10208aac0f0d1b0ba62a1e65ce6728b0349370c [200000000000, 0]
0x4d5bdd096071efee163f8b2eae7a21c9686d3ff3 [55000000000, 0]
0x50f80208161e10d228711c8fe4c12c56ca33c6a9 [2400000000000, 0]
0x004ef7649d6589caab9edbb4994e6f0b785f18ac [15000000000000, 0]
0x245b4775082c144c22a4874b0fba8c70c510c5ae [500000000000, 0]
0xd90723ccf710e5248108dfc00c2b6cfd06ae0678 [1300983450000, 0]
0x5451d4a6e38f2710e18e0b4f339c678cad6f4784 [40983450000, 0]
0x30d0424b0ef581aa8e87e5865679559673b33ee6 [98949983400000, 2598224506]
0x42d9384400a50755f049817b88541bb0ec5c3aab [19983500000, 0]
0x67cd3abe59504c7886c946941b3218c995779c8e [49983500000, 0]
0xb072244f837da64271f9c59f713390471633970c [16529983400000, 36400037528]
0x830b5d9f275407863a0d7875155e764cc0e56463 [49983500000, 0]
0x056815e3c8538cd34be4c06dac9ae300db043b53 [200024983400000, 0]
0x770b38de1dc5b8f3432e33e2df85b70b0d3f14b6 [2800000000000, 0]
0x0aed302952fbdb02681e62d7d0b6046bc1c409ca [149568783000000, 0]
0x04afe24c0773b9bce4abdbd29b8cd1dd5da352af [2215141030808, 1030050761]
0xffc18b05503cc1ae0b3cd9c5cdea9b95bbb316ee [1851218607483, 117910152]
0x80fe65e243f0133b22d22535fabe4502bda2b585 [4000000000000, 884663]
0x8fce08aeaac058e2e7cc9045ce06c5d35b94ea08 [2939983500000, 0]
0xd711a0b8344a11d5c92b9466be03490a5754056f [2498966100000, 0]
0x9f8d9c183150f15ffba39b7b17c3e1a78e5e5478 [49982850000, 0]
0x73db0f38391583c9f4786f7a317afab23b6749f7 [50000000000, 0]
0xe12b73f325a264525258fb2ba877ff0a0dd21a62 [399967000000, 0]
0x587f9d73f8af604374b050ec6f291b4d09effe90 [983550000, 0]
0x57865ba267d48671a41431f471933aec32a7c7d1 [37211474037671, 0]
0x7c52a834282178ffa53df92b2270c9f5027e7568 [399967000000, 0]
0x9d402f2c2db1970d16b73d93cfbb077d4d52a69c [2996283749999, 0]
0x7c9b3d4cfc78c681b7460acde2801452aef073a9 [128934000000, 0]
0xbde9113a26c8ff7c517e9afc4f7019e276cd527d [696949983400000, 0]
0x47c1c31d64569e22d13e480b12d0f8ebd638e620 [99967000000, 0]
0x0e55c72781acd923c4e3e7ad9bb8363de15ef204 [51983549999, 0]
0xb0cbe91fbf79db6101242c2620d4348b32418ba2 [799967000000, 0]
0x738e40932ec976661c336c4f8a426aecb4a7dc36 [8349983500000, 0]
0x39786c76037037fa6ad759780e501b65fc8b5b66 [1739983450000, 0]
0xe2cc4f1e7d609df4b69f35fe3b851f03f228e9ed [49983500000, 0]
0xbf5b0af5652e5fff9473fbff164782e2f9e42cb1 [3266220005208, 0]
0x7a1585ea7db0030baf1d1ecea87eae75536b58f6 [19982900000, 0]
0x615e1690dfe1fe7ca505d19c0ca9b2c4881f2bbe [109983550000, 0]
0xc6c79e5d759aa576a49b00a57402be439c7b0735 [0, 5000000000]
0x27cb0d96c89519f32561e001d63cdecf7504a359 [79983500000, 0]
0x9ba28d1b0458bf2654681b2d647a500c2e4064cf [5000000000000, 0]
0xe59261f6d4088bcd69985a3d369ff14cc54ef1e5 [313357355704, 0]
0x800c91d39c5c25e5c6434556d609429b2acc1564 [49983500000, 0]
0xdaa2cac4e7b9365ee0b1969a1dd978056a44e375 [49983500000, 0]
0x8c4a65f523dc6560bd431c77d8bb0000d34317df [3000000000000, 0]
0x1ef91043d3cdb315a5c97a03b843e6095ba6ea02 [29450000000000, 0]
0xc49f2f72d1e59e5f52d13e1c86f563d85b3db1fd [1450000000000, 0]
0x425b9416cd739c970f77c0dcef557178b9ff650b [1000000000000, 0]
0x62fece596d6b3b8bd31bc69ac4f4dfc846d9d638 [100000000000, 0]
0xebd9a48ed1128375eb4383ed4d53478b4fd85a8d [1000000000, 0]
0xb0aeee83a2358888263a4e5b38a539272f8f87ed [200000000000, 0]
0x60308437f05d0ee938ac4bafbe0d52ee46e6b14d [500000000000, 0]
0xbeb72b567a4fe8f7419ce7a42fc0cfad315f2d22 [1219949900000, 0]
0x57017a6fd04ecdc9ea68dcfc1cbcfe598dce4e56 [1000000000000, 0]
0x4be890c11ae8ae0ab76de0a7a10e507ad5adc22a [100000000000, 0]
0x0c9cd36fee275ef7e9de0f0b9932c52cb37d25c5 [300000000000, 0]
0x2d65b6bf024c770c9579808a3873b57bbdc2268d [2965983250000, 0]
0xcdcab3e5f69f19ea34ed35ea0ba776242b075353 [1050000000000, 3825671577]
0xfc1b36ffb2af807ec10872a87a8bebac95c6520f [450000000000, 1200000000]
0xf5e1011e0355af18bd42bd5abc6a526a7ff65f43 [200000000000, 0]
0x72bee52f90da8702b94ad97b68746cb1a02189b1 [65000000000, 0]
0x44b97b5ca0d8ca50de1fcf2f640a9bd41c7421de [60000000000, 0]
0x0b7f59b78e3ddae9a693c3ebf90f7e5de7749b89 [1948000000000, 0]
0xf72f2d13b062b28479728c10e56d590649d4dee0 [2846220796775, 0]
0xf57507b291f81ca73dc2e20badd8cb4a35bc2079 [39058000000000, 0]
0xef3e33334851212b4ebe16601e5adbe5afa0103a [0, 6434070362]
0x9332897f7e9308748d48b859aa0a16684b1a935c [50000000000, 0]
0xfd58f5036e11d104a6ec73d4acf941a76040b72d [29348020158, 0]
0x0b7e5d1e15cb7025648f612d6ed39f1a652c62fe [248000000000, 0]
0x6c588534b6da5229b31628d980c9ff6fb9909632 [948000000000, 0]
0x3564d78458309789fcf06f6145d5fecb924f2a49 [7000000000, 0]
0x20471f3660aeb8f09033269044201b679094ad9d [197982700000, 0]
0x2ab006819d56236a827a4799a93cc0f4474ec577 [10000000000, 0]
0x885caa93bc730933bd4e858e50cb2f006950ac48 [1444000000000, 0]
0x6a2d167e071fc92095a3e82d0159485d06739b34 [2000000000, 0]
0xf0d59387746a087788313a46072f392e24152e1e [449983300000, 0]
0x1de5dd3dd5392d5cf7b2334bfe49f382e6b5d7ef [438000000000, 0]
0x644bc63fbe3debaee71ea2731d511a19cfaf74bd [248000000000, 0]
0x953d65e6054b7eb1629f996238c0aa9b4e2dbfe9 [2000000000, 0]
0x6c9ede33258add26a0c181c2905497835915ffc0 [3000000000, 0]
0xc9551e574a99efc2fd8dd74124c21d7cff663e8e [50000000000, 0]
0x427e5697747b64097864bc681d59ae4aab3dccb6 [2930983400000, 0]
0x42b42b3c6029761ae1215c2bf34f3a735fec3480 [100000000000, 0]
0xd3f4d3461e9280b73f984e053c72f649ef7b0f1f [949883250000, 0]
0xd08b9e9269115f91a759207f98da433ee6450d9a [2000000000, 0]
0x3e25247cff03f99a7d83b28f207112234fee73a6 [2000000000, 0]
0xaa6b07e5ca5aa9282b89225691dd50712d3ae80d [148000000000, 0]
0xfdfa42a8f3468d50493511b3c7d9fe1a4bf6cf2a [168983049998, 0]
0xdcba2c0afb5c0e24559f5ee03a459486efb1707e [248000000000, 0]
0xef96001c98da1182ddd7b7373c26a3dacac9add3 [3876285452962, 0]
0xa2e9fc34df043e68bd743cdf6fe80c85728b73ae [10000000000, 0]
0x0f35fd5cb52de89807e365702e517444b8758d34 [946810150000, 0]
0x3826b1d9a4c66bd85177b7d4a35f9ee21ed6aece [6040631098591, 0]
0x0d0952c804e28674e5cb1b72db172f397ff2e747 [147905650000, 0]
0x92ce792ecb5d21acf612b25b7166c02351ad2980 [300000000000, 0]
0x998a5b6b4c1bff78945ef1c3b4d8fe8367165146 [10000000000, 0]
0xda30ed32dbc0db17b0501643ba272bb2463cc0ff [437946786783, 0]
0x0000000000000000000000000000000000000000 [1000000000, 0]
0xc1ac86a8407c58738cc944ef5b216af7c3e3ab42 [400000000000, 0]
0x887241aab7a310fea54e2d7d8ff6be29c41c3dba [18000000000, 0]
0x98e36f9073c6ed2f8f1ab45c1b1c9732fcf18f7f [21335378713, 0]
0xf68fc6379d4582619c3ad51f54ef81ad0dc7f981 [100000000000, 0]
0x421a7a9d0215a5565ca054394a940ad26c829e86 [72100000000, 0]
0xd95929b3d82f7f76afaf23ae716c691e489a43b1 [2000000000, 0]
0xb16f117f60869d40d8c5852ee300da7ee5f50ce6 [986447053896, 0]
0x91e2d4aa139c47a7e25f244d040131317a2a5e4c [4300000000000, 3400000]
0x024336ae03ab34351de0d0e52b04648a3a00fdfc [448000000000, 0]
0x1c1ace6bb2228c9dc96215ad4226654dbc6d711e [10000000000, 0]
0x187f68778adfa10ed7d7ad6b75337f71af06b85a [1411999999999, 0]
0x3365323532343763666630336639396137643833 [1000000000, 0]
0x76a95d549ca36d955df2c72f693690d8e51a94d0 [44060000000000, 0]
0x7a7d43953d3f633197230791eb1db8297098965c [0, 11761626070]
0xb0163239ec0b886a5629e41542730a40052a865a [100000000000, 0]
0xcd12a26144c4e5ba1147077b5aacdd979677dcf2 [0, 144670050]
0x16970d453230b5cbcd895e7c75337231c79a2742 [948000000000, 0]
0xbf2fe8c4825636ef7335ee1c0cb40e9ccdf26adf [50000000000, 0]
0x7669d4661d35c436c8d72bb3bba9c585411b83ce [348000000000, 0]
0xc3223c6245aebc778b3f3ab55fd286c4cab1e4a9 [50000000000, 0]
0xcbd1ae249a5553817919182633bd4e1ac0853ab5 [853479257325, 0]
0x81e98c5cc3f0e98b5032f92e44006ad6efc20320 [62000000000, 0]
0x281ff8ed6fb8637d8bcbd0450dc791aebb774f0a [0, 1100000000]
0x717c38fd5fdecb1b105a470f861b33a6b0f9f7b8 [120000000000, 0]
0x03a4ecbe29e679ef9ce164aead5235d6ab737247 [0, 1000000000]
0xd09558e1e3df169f665d4251203d9b994db0398b [0, 4895000000]
0xd1b335fc23fc8e77046d77dac679d953e5dcbe67 [0, 3710700000]
0x95d1dd87debba4ee19edd6c79dd7f5fbd6227ca5 [0, 1000000000]
0xc2714552483e9a26898fcbf7e23945fe4edb0d86 [0, 114000000]
0x48379f8416540c1ce62a2bcb2c0f6d171db08b2f [0, 5207106]
